index,code_change,review,relevance,informativeness,correctness
7789,"@@ -45,6 +45,10 @@ module Travis
   module Build
     class Script
       TEMPLATES_PATH = File.expand_path('../templates', __FILE__)
+      INTERNAL_RUBY_REGEX = ENV.fetch(
+        'TRAVIS_INTERNAL_RUBY_REGEX',
+        'ruby-(2\.[0-2]\.[0-9]|1\.9\.3)'
+      ).untaint
       DEFAULTS = {}
 
       class << self",@henrikhodne We are lazily skipping `jruby-*` here (assuming that JRuby all of a sudden start using these version numbers).,,,
8467,"@@ -127,12 +127,13 @@ std::string MetaServiceUtils::schemaEdgesPrefix(GraphSpaceID spaceId) {
 std::string MetaServiceUtils::schemaEdgeKey(GraphSpaceID spaceId,
                                             EdgeType edgeType,
                                             int64_t version) {
+    int64_t storageVer = std::numeric_limits<int64_t>::max() - version;
     std::string key;
     key.reserve(128);
     key.append(kEdgesTable.data(), kEdgesTable.size());
     key.append(reinterpret_cast<const char*>(&spaceId), sizeof(spaceId));
     key.append(reinterpret_cast<const char*>(&edgeType), sizeof(edgeType));
-    key.append(reinterpret_cast<const char*>(&version), sizeof(version));
+    key.append(reinterpret_cast<const char*>(&storageVer), sizeof(storageVer));
     return key;
 }
 ",The names of the variables are not descriptive. It would be better to use names that describe their purpose.,,,
9739,"@@ -60,3 +60,11 @@ func isABuildFile(name string, config *core.Configuration) bool {
 	}
 	return false
 }
+
+// Max is an incredibly complicated function, which is presumably why it didn't make it into the Go stdlib
+func Max(x, y int) int {
+	if x < y {
+		return y
+	}
+	return x
+}","The charset is not being used in the code snippet provided. If it's not being used, it might be better to remove it.

The charset is being set to UTF-8 in the code snippet, so it's not necessary to have it as a member variable.
The charset is being used in the code snippet, but it's not being used in the method. It might be better to remove it from the class if it's not being used.",,,
3910,"@@ -434,6 +434,11 @@ type NetworkPolicyPeer struct {
 	//  Exact FQDNs, i.e. ""google.com"", ""db-svc.default.svc.cluster.local""
 	//  Wildcard expressions, i.e. ""*wayfair.com"".
 	FQDN string `json:""fqdn,omitempty""`
+	// Select all Pods with the ServiceAccount matched by this field, as
+	// workloads in AppliedTo/To/From fields.
+	// Cannot be set with any other selector.
+	// +optional
+	ServiceAccounts []ServiceAccount `json:""serviceAccounts,omitempty""`
 }
 
 type PeerNamespaces struct {",I think we should use `NewResource` instead of `NewResource`,,,
6454,"@@ -40,6 +40,14 @@ func Test_Start(t *testing.T) {
 	assert.Equal(t, ""bytecount 1"", mockConnection.LastLine)
 }
 
+func Test_Stop(t *testing.T) {
+	statsRecorder := fakeStatsRecorder{}
+	middleware := NewMiddleware(statsRecorder.record, 1*time.Second)
+	mockConnection := &management.MockConnection{}
+	middleware.Stop(mockConnection)
+	assert.Equal(t, ""bytecount 0"", mockConnection.LastLine)
+}
+
 func Test_ConsumeLine(t *testing.T) {
 	var tests = []struct {
 		line                  string",This should be `STATE_KEY_FIRST_TIME_EMPTY_SUBJECT`,,,
3351,"@@ -48,8 +48,16 @@ import javax.net.ssl.SSLSocketFactory;
  */
 public class SalesforceTLSSocketFactory extends SSLSocketFactory {
 
+    private static SalesforceTLSSocketFactory INSTANCE;
     private SSLSocketFactory ssLSocketFactory;
 
+    public static SalesforceTLSSocketFactory getInstance() throws KeyManagementException, NoSuchAlgorithmException {
+        if (INSTANCE == null) {
+            INSTANCE = new SalesforceTLSSocketFactory();
+        }
+        return INSTANCE;
+    }
+
     public SalesforceTLSSocketFactory() throws KeyManagementException, NoSuchAlgorithmException {
         final SSLContext context = SSLContext.getInstance(""TLS"");
         context.init(null, null, null);",I think we should be able to remove this.,,,
295,"@@ -142,15 +142,12 @@ axe.utils.getNodeFromTree = function(vNode, node) {
 		return vNode;
 	}
 	vNode.children.forEach(candidate => {
-		var retVal;
-
-		if (candidate.actualNode === node) {
+		if (found) {
+			return;
+		} else if (candidate.actualNode === node) {
 			found = candidate;
 		} else {
-			retVal = axe.utils.getNodeFromTree(candidate, node);
-			if (retVal) {
-				found = retVal;
-			}
+			found = axe.utils.getNodeFromTree(candidate, node);
 		}
 	});
 	return found;",Layout/SpaceInsideHashLiteralBraces: Space inside { missing.<br>Layout/SpaceInsideHashLiteralBraces: Space inside } missing.,,,
5037,"@@ -88,7 +88,17 @@ func removeYields(plan *PlanSpec) (*PlanSpec, error) {
 			}
 
 			newRoot := root.Predecessors()[0]
-			newRoot.RemoveSuccessor(root)
+			newSucc := make([]PlanNode, 0, len(newRoot.Successors()))
+
+			for _, succ := range newRoot.Successors() {
+				newSucc = append(newSucc, succ)
+				if succ == root {
+					continue
+				}
+			}
+
+			newRoot.ClearSuccessors()
+			newRoot.AddSuccessors(newSucc...)
 			plan.Replace(root, newRoot)
 			plan.Results[name] = newRoot
 			continue",Don't you want to place this check before you add `succ` to `newSucc`?,,,
9459,"@@ -25,7 +25,8 @@ public abstract class BftExtraDataCodec {
   protected enum EncodingType {
     ALL,
     EXCLUDE_COMMIT_SEALS,
-    EXCLUDE_COMMIT_SEALS_AND_ROUND_NUMBER
+    EXCLUDE_COMMIT_SEALS_AND_ROUND_NUMBER,
+    EXCLUDE_CMS // TODO-lucas How can we achieve this w/o changing the BftExtraDataCodec base class
   }
 
   private static final Logger LOG = LogManager.getLogger();","The method name can be more descriptive. It's not clear what ""IsCompatibleTo"" means in this context.",,,
2312,"@@ -67,6 +67,16 @@ func (h TlfHandle) IsReader(user keybase1.UID) bool {
 	return ok
 }
 
+// ResolvedReadersMap returns a map of resolved readers from uid to usernames.
+func (h TlfHandle) ResolvedReadersMap() map[keybase1.UID]libkb.NormalizedUsername {
+	return h.resolvedReaders
+}
+
+// ResolvedWritersMap returns a map of resolved writers from uid to usernames.
+func (h TlfHandle) ResolvedWritersMap() map[keybase1.UID]libkb.NormalizedUsername {
+	return h.resolvedWriters
+}
+
 func (h TlfHandle) unsortedResolvedWriters() []keybase1.UID {
 	if len(h.resolvedWriters) == 0 {
 		return nil",Why do we need this migration?,,,
