id,code_diff,gold_review,sys1 review,sys2 review,sys3 review,choice
3921,"@@ -61,6 +61,14 @@ public abstract class ApiConfig {
     }
   }
 
+  /**
+   * Creates an ApiConfig with no content. Exposed for testing.
+   */
+  public static ApiConfig createDummyApiConfig() {
+    return new AutoValue_ApiConfig(ImmutableMap.<String, InterfaceConfig> builder().build(), null,
+        false);
+  }
+
   private static String getPackageName(ConfigProto configProto) {
     Map<String, LanguageSettingsProto> settingsMap = configProto.getLanguageSettings();
     String language = configProto.getLanguage();","It looks like this is only used in order to extract the snippet file names from GapicProviderFactory. I wonder if it would be better expose the snippet file names directly, without exposing a test-only function in non-test code.",`createDummyApiConfig` -> `createApiConfig`,`createDummyApiConfig` -> `createApiConfig`,Why do we need this method?,
7097,"@@ -194,8 +194,8 @@ public class AzkabanWebServer extends AzkabanServer {
     // TODO remove hack. Move injection to constructor
     executorManager = SERVICE_PROVIDER.getInstance(ExecutorManager.class);
     projectManager = SERVICE_PROVIDER.getInstance(ProjectManager.class);
+    triggerManager = SERVICE_PROVIDER.getInstance(TriggerManager.class);
 
-    triggerManager = loadTriggerManager(props);
     loadBuiltinCheckersAndActions();
 
     // load all trigger agents here","At some point, we would like to get rid of these custom injections as well. Looks Ok for now.",Why do we need to load the trigger manager here?,`loadTriggerManager` calls `loadBuiltinCheckersAndActions` which calls `loadBuiltinCheckersAndActions` which calls `loadTriggerManager` which calls `loadTriggerManager`.,`loadTriggerManager` calls `loadBuiltinCheckersAndActions` which calls `loadTriggerManager` which calls `loadTriggerManager` which calls `loadTriggerManager` which calls `loadTriggerManager` which calls `loadTriggerManager`,
7541,"@@ -195,7 +195,11 @@ function prepareDatabaseForSuite(suite, context) {
     .admin()
     .command({ killAllSessions: [] })
     .catch(err => {
-      if (err.message.match(/no such (cmd|command)/) || err.code === 11601) {
+      if (
+        err.message.match(/no such (cmd|command)/) ||
+        err.message.match(/Failed to kill on some hosts/) ||
+        err.code === 11601
+      ) {
         return;
       }
 ",Is this left over from debugging?,Shouldn't this be `/Failed to kill on some hosts/i`?,`/Failed to kill on some hosts/` => `/Failed to kill on some hosts/`,Shouldn't this be `/Failed to kill on some hosts/`?,
7133,"@@ -28,7 +28,6 @@ import (
 	apis ""github.com/openebs/maya/pkg/apis/openebs.io/v1alpha1""
 	clientset ""github.com/openebs/maya/pkg/client/generated/clientset/versioned""
 	""github.com/openebs/maya/pkg/debug""
-	merrors ""github.com/openebs/maya/pkg/errors/v1alpha1""
 	pkg_errors ""github.com/pkg/errors""
 	corev1 ""k8s.io/api/core/v1""
 	""k8s.io/apimachinery/pkg/api/errors""",change pkg_errors to errors. Keep it consistent across all the files.,@deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @smarterclay,@deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k what do you think?,`pkg_errors` is no longer used.,
5197,"@@ -980,7 +980,7 @@ get_module_handle_64(const wchar_t *name)
 {
     /* Be careful: we can't directly de-ref any ptrs b/c they can be >4GB */
     LDR_MODULE_64 mod;
-    if (!get_ldr_module_64(name, NULL, &mod))
+    if (!get_ldr_module_64(name, 0, &mod))
         return NULL;
     return mod.BaseAddress;
 }","NULL change, could you move that out too?",(style) line over 80 characters,"I don't think this is correct. `get_ldr_module_64(name, 0, &mod);` will return `NULL` if `name` is NULL.","Shouldn't this be `get_ldr_module_64(name, 0, NULL)`?",
907,"@@ -240,6 +240,9 @@ static int config_ini_handler(void *user, const char *section, const char *name,
 		if (strcmp(name, ""xwayland"") == 0) {
 			if (strcasecmp(value, ""true"") == 0) {
 				config->xwayland = true;
+			} else if (strcasecmp(value, ""lazy"") == 0) {
+				config->xwayland = true;
+				config->xwayland_lazy = true;
 			} else if (strcasecmp(value, ""false"") == 0) {
 				config->xwayland = false;
 			} else {","I don't think this should enable xwayland, because it's convenient to toggle xwayland just by setting `xwayland` to `false`","Should this be `config->xwayland_lazy = strcasecmp(value, ""lazy"") == 0`?","This should be `config->xwayland_lazy = strcasecmp(value, ""lazy"") == 0`","Shouldn't this be `config->xwayland_lazy = strcasecmp(value, ""lazy"") == 0`?",
9372,"@@ -52,13 +52,16 @@ class SonataMediaExtension extends Extension
         $loader->load('gaufrette.xml');
         $loader->load('validators.xml');
         $loader->load('serializer.xml');
-        $loader->load('api_form.xml');
-
+        
         $bundles = $container->getParameter('kernel.bundles');
 
         if ('doctrine_orm' == $config['db_driver'] && isset($bundles['FOSRestBundle']) && isset($bundles['NelmioApiDocBundle'])) {
             $loader->load('api_controllers.xml');
         }
+        
+        if (isset($bundles['JMSSerializerBundle'])) {
+            $loader->load('api_form.xml');
+        }
 
         if (isset($bundles['SonataNotificationBundle'])) {
             $loader->load('consumer.xml');",I think `serializer.xml` can be moved into condition below too,Why did you move this line?,Shouldn't this be `if (isset($bundles['JMSSerializerBundle'])) {`?,@wachterjohannes @dunglas @wachterjohannes @wachterjohannes @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @dunglas @wachterjohannes @dunglas @dunglas @dunglas @dunglas @dungl,
8878,"@@ -0,0 +1,11 @@
+class MoveScreencastsIntoProducts < ActiveRecord::Migration
+  def up
+    say_with_time ""Converting screencasts into video_tutorials"" do
+      update ""UPDATE products SET type = 'VideoTutorial' WHERE type = 'Screencast'""
+    end
+  end
+
+  def down
+    raise ActiveRecord::IrreversibleMigration
+  end
+end","We can also drop `plans.includes_screencasts`, right?",This should be `raise ActiveRecord::IrreversibleMigration`,Prefer single-quoted strings when you don't need string interpolation or special symbols.,Prefer single-quoted strings when you don't need string interpolation or special symbols.,
3804,"@@ -48,11 +48,11 @@
 #include <cstdio>
 #include <cstdlib>
 
-typedef Kokkos::DefaultExecutionSpace Device;
-typedef Kokkos::HostSpace::execution_space Host;
+using Device = Kokkos::DefaultExecutionSpace;
+using Host   = Kokkos::HostSpace::execution_space;
 
-typedef Kokkos::TeamPolicy<Device> team_policy;
-typedef team_policy::member_type team_member;
+using team_policy = Kokkos::TeamPolicy<Device>;
+using team_member = team_policy::member_type;
 
 static const int TEAM_SIZE = 16;
 ",I'm kind of surprised this doesn't require `typename`?,This should be `using namespace Kokkos;`,Why not `using Kokkos::TeamPolicy<Device>`?,Why not `using Kokkos::DefaultExecutionSpace = Kokkos::DefaultExecutionSpace`?,
9690,"@@ -1,6 +1,6 @@
 _base_ = [
     '../_base_/models/mask_rcnn_r50_fpn.py',
-    '../_base_/datasets/coco_instance.py',
+    '../_base_/datasets/lvis_v1_instance.py',
     '../_base_/schedules/schedule_2x.py', '../_base_/default_runtime.py'
 ]
 model = dict(",Should not switch to `lvis_v1_instance` here because that base config uses ClassBalancedDataset to oversample the data.,Shouldn't this be `lvis_v2_instance.py`?,lvis_v1_instance.py -> vis_v1_instance.py,lvis_v1_instance.py -> lvis_v1_instance.py,
