id,inf,rand,rel,gold
7846,"I don't think it's a good idea to deprecate all methods from `ASTFormalParameter`.
","We should deprecate all methods from ASTFormalParameter.
","Yes, we should deprecate all methods from ASTFormalParameter.
","What do you mean with this? Won't the deprecation be inherited?
"
1507,"This should be `const size_t*`
","This should be `const size_t*`
","Why not just `return impl_->remove_all_changes(removed);`?
","Change if the method's name finally changes to `clear_history` as proposed elsewhere
"
1586,"Why the change from `20s` to `40s`?
","Why do we need to increase the timeout?
","Why do we need to increase the timeout?
","Why has this timeout doubled?
"
5211,"Shouldn't this be `TK_OBJECT2`?
","Shouldn't this be `r = expr_object(options, astp)`?
","Shouldn't this be `TK_OBJECTOF`?
","for my own edificaton, what's this?
"
8859,"Should this be `SetApplicationError(err error) error`?
","Why do we need this change?
","Why do we need to make this change? Isn't SetApplicationError sufficient?
","This is a breaking change, and cannot be made. We have committed to this API for v1.
"
3092,"`&& (!spec.has_learnt || (spec.must_learn & 0xf))`
","Shouldn't this be `&&` instead of `&&`?
","Shouldn't this be `&& spec.must_learn != 0 && !spec.has_learnt`?
","Doing a select query inside of a loop like this is not ideal. We should fetch recipes once and then loop through it in memory to perform this check
"
8773,"Shouldn't this be `1`?
","why change this?
","Why do we need to change this?
","Is this map used for durable state anywhere? If so we probably want to keep ConditionFailedError as 2
"
9307,"Why remove `uri` from the log message?
","Why remove the `uri` logging key?
","Why are we removing `uri` here?
","Consider logging `r.Url.Path`? Either way, ship it!
"
1648,"`jsonHandler2` is unused (from `deadcode`)
","Why do we need a new type here?
","Why do we need a new handler type?
","Let's add some assertions here to ensure we don't panic. Length of results. Conditionally cast second result to error.
"
6502,"This should be `DEFINE_string(local_ip, ""localhost"", ""local ip"");`
","why is this needed?
","I don't think this should be a `DEFINE_string` if it's only used in one place.
","I don't think this belongs here. If the application can take a local_ip as input, the application should take care of it, not in this common library
"
9264,"`else if (split[1] == typeof(DetectionsGraphController).Name && split.Length == 2)`
","Shouldn't this be `typeof(DetectionsGraphController).FullName`?
","Shouldn't this be `else if (split[1] == typeof(DetectionController).Name && split.Length == 2)`?
","Better if you give split[0], split[1], and split[2] descriptive names than using them this much through so many lines of code.
"
5565,"`loadImageTimeout` is unused (from `deadcode`)
","Why do we need a loadImageTimeout?
","I don't think we should have a load image timeout for pulling images.
","Why did you pick two hours for this?
"
9783,"`typeWidth` doesn't seem to be used?
","nit: `typeWidth` -> `typeWidthInBits`
","Why do we need to pass `typeWidth` to `readBatchOfDictionaryEncodedLongs`?
","What about the call in `case PACKED` just below? Does that also need to use the `typeWidth`?
"
8803,"Shouldn't this be `this.SupportsAllocation(contexts)`?
","Shouldn't this be `!SupportsAllocation(contexts)`?
","Shouldn't this be `!IsAllocated(contexts) && !SupportsAllocation(contexts)`?
","[You can ignore it] Maybe a better method name would be IsSupported or HasSupportForAllocation?
"
790,"`confirmed_frontiers` -> `frontiers_confirmed`
","Shouldn't this be `confirm_frontiers`?
","`confirmed_frontiers` -> `is_confirmed_frontiers`
","I think `bypass_frontier_confirmation` conveys the intention better (default false as well)
"
2726,"The `ChainCIDRBlock` rule is no longer used, so I removed it.
","Why is this being removed?
","Why is this no longer needed?
","Does that mean we disable service loop prevention for packet generated by local host?
"
431,"`# noqa: F403` should be removed.
","Why do we need this change?
","Why do we need `noqa` here?
","Why this is in the diff?
"
8418,"Can we call this `KMSKeyPrefix` instead of `KMSAliasPrefix`?
","Wouldn't it make more sense to have the default be `cluster-api-provider-aws`?
","I don't think we need to add a new field to the `AWSIAMRoleSpec` struct. The `KMSAliasPrefix` is already part of the `AWSIAMRoleSpec` struct.
","Should this be optional for existing configs to work?
"
2995,"`RenewBefore` -> `RenewBefore`
","Why do we need both `RenewBefore` and `Duration`?
","@deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @deads2k @
","The `omitempty` struct tag does not do anything for non-pointer structs. I think we may need to consider making both of these fields pointers, so that they are excluded from output when not set, and also to make it easier to compare to the zero value. That said, I'm happy to merge this now and open an issue to verify the behaviour is as we want ahead of cutting v0.6.0.
"
4060,"`static const char* extensions[] = { ""jade"", NULL };`
","`static const char* const extensions[] = {""jade"", NULL};`
","Shouldn't this be `^mixin[ \t]*([a-sA-Z0-9_]+)$/`?
","The character class in the regex should probably be ""[a-zA-Z0-9_]"".
"
3189,"`header.getAttribute('id')` should be `header.id`
","Shouldn't this be `!reffedHeaders.includes(header.getAttribute('id'))`?
","Shouldn't this be `header.getAttribute('id') !== null`?
","Does this code fit on one line under 80 characters? It would be more consistent with our existing style.
"
8944,"You can use `GetOrAdd` instead of `Exists` here.
","Wouldn't it be better to do this in the constructor of `Fragment`?
","Shouldn't this be `GetSingleton<IMvxChildViewModelCache>()`?
","Throw `fragInfo.CachedFragment.ViewModel.GetType()` into a variable so it's not evaluated each time.
"
6883,"`activeClientMap_.erase(std::remove_if(it, activeClientMap_.end(), deadClientMap_.end()));`
","Why do we need to erase if it is not there?
","If `activeClientMap_.find(pClient) != activeClientMap_.end()`, then `activeClientMap_.erase(it) == activeClientMap_.end()`.
","The assertion here is that find should never return end() because this is the only mechanism that reaps items from the activeClientMap. If it == end something went horribly wrong.
"
5041,"The `report_function_call` calls should be wrapped in a `Puppet.debug` or `Puppet.warn` call.
","`report_function_call` can return `nil` so we don't need the `nil` check.
","`report_function_call` calls `inventory&.add_facts(target, facts)` which calls `inventory.add_facts(target, facts)` which calls `inventory.add_facts(target, nil)` which calls `inventory.add_facts(target, nil)` which calls `inventory.add_facts(target, nil)` which calls `inventory.add_facts(target, nil)` which calls `inventory.add_facts(target, nil)` which calls `inventory.add_facts(target, nil)` which calls `inventory.add_facts
","We shouldn't use the `&.` syntax here, since we expect that `executor` will never be `nil`. For the functions that _can_ be called from apply / without an executor, `&.` is still appropriate.
"
1683,"I think this should be `Optional.ofNullable(keyFilePath)`
","Shouldn't this be Optional<String>?
","Shouldn't this be `Optional.empty()`?
","Why do we need to make this optional? Isn't the idea of the builder that if you don't need this value you just don't call the `keyFilePath ` method?
"
4553,"`type(module_class)` -> `module_class`
","`from __future__ import absolute_import`?
","`type(module_class)` -> `module_class.__name__`
","`module_class ` is already a class and `type(module_class)` always returns `<class 'type'>`
"
5881,"nit: `# this is a vestigial parameter that is not used and will be removed in the future`
","""will be removed"" -> ""will be removed""
","""this is a vestigial parameter that is not used and will be removed in the future""
","is there a reason not to remove the param now? I think the serdes will still work?
"
274,"Shouldn't this be `0755`?
","Wouldn't it be better to use `0755`?
","Shouldn't this be `0755`?
","Please check the return on these.
"
2090,"`uppy` is not used.
","`super(uppy, opts)` ?
","`uppy` -> `options`
","I'm a bit confused. We have an actual `ProgressBar` Uppy React wrapper component that we are testing. Why do we need a mock for it?
"
4347,"Should this be `IHttpHeadersParser`?
","Should this be `IHttpHeadersHandler`?
","Why do we need this interface? Isn't `IHttpParser` sufficient?
","nit: the correct name is ""request line"", so let's use the right one here :)
"
7642,"`aangeheg` -> `anangeheg`
","Line is too long. [89/80]
","Line is too long. [83/80]
","Just use the word ""veld"" instead of ""gebied"" here
"
8427,"`goimports` doesn't like this.
","Can you revert this change?
","nit: remove empty line
","Any reason to split up this import block? I think most files have them together in one block, right?
"
964,"Don't put your code logic in `main()` function. Use `main()` only for the driver code
","Don't use this.
","Please give one extra blank line at the end of the file.
","use function to check it. - don't do everything in main
"
3977,"`should not trim source rows than defined in maxRows when trimming rows using the TrimRows plugin`
","`modifyRow` is no longer supported in IE.
","`should not add more source rows than defined in maxRows when trimming rows using the TrimRows plugin`
","It's no longer possible to use `modifyRow` to trim rows and that's ok to use TrimRows instead. But I think we should move this test to TrimRows plugin tests as `trimRows` setting is not a part of the `core`.
"
8335,"`Evaluate queries the range query endpoint and checks if values in all data points are within the expected range.`
","`Evaluate queries the range query endpoint and checks if values in all data points are within the expected range.`
","`Evaluate queries the range query endpoint and checks if values in all data points are within the expected range.`
","So `queryRange.Step` will be ignored?
"
6517,"Shouldn't this be `flux_respond_error`?
","Shouldn't this be `<=` instead of `<`?
","Shouldn't this be `flux_respond_error_errno`?
","I see a few places where this blob of code is required due to the removal of `errnum` parameter from `flux_respond` -- trading 2 lines of code for 8. The improvement to the function seems like a good idea, but I wonder if we need a convenience macro or function to do it the old way? You went through and made all the changes, was it overall a net win?
"
4563,"`playerTradeItem` and `tradePartnerItem` can be `nullptr`.
","`playerTradeItem` and `tradePartnerItem` can be const.
","`playerTradeItem` and `tradePartnerItem` can be `nullptr`.
","This is not consistent. Either rename the first to `tradePlayerItem` (which is ugly) or the second to `partnerTradeItem` (:+1:)
"
1524,"`@round_count` should be `@round_count.positive?`
","I think this should be `@round_count.to_i == 3`
","`@round_count` should be `@round_count.to_i`
","It looks like you've removed `bisect_round_finished` but kept `bisect_round_started`. Seems a little odd that they aren't paired. Not sure if there's anything to do about that though...
"
5193,"Nit: `elapsed, runs := 0*time.Second, 0; elapsed, runs += interval, runs+1`
","Would it make sense to use `logrus.Infof` here?
","`elapsed, runs := elapsed+interval, 0; elapsed < timeout; elapsed += interval, runs+1 {`
","Any reason why we want to remove this code ? It helps debugging AWS ebs attach issues. Ideally yes a library should have minimal logging, but there is no way we can track long running AWS attach calls.
"
2744,"`withTransitivity()` should be removed as well.
","Why is this removed?
","Shouldn't this be `org.codehaus.jackson:jackson-jaxrs:1.6.5`?
","@tmetzke shouldn't we replace this library with the `2.12.1` instead of removing it?
"
10034,"`sendTestRequest` is no longer used and can be removed.
","why is this removed?
","Why are we removing this?
","line 26 can be removed i think > applicationId: or('config.unsplashAPI.applicationId', 'settings.unsplash.applicationId'),
"
4171,"`DEFAULT_RTT_MEASUREMENT_INTERVAL` is unused (from `deadcode`)
","How about `DEFAULT_RTT_MEASUREMENT_INTERVAL_SECONDS`?
","How about `DEFAULT_RTT_MEASUREMENT_INTERVAL_SECONDS = 24 * time.Hour`
","check spaces after const name...
"
1401,"`self.http_request` is no longer used.
","Why do we need to remove this?
","`self.http_request` is no longer used.
","this is used as important way of mocking for unit tests, FYI
"
7778,"nit: `zap` should be above `google.golang.org/protobuf/proto`
","nit: remove empty line
","File is not `goimports`-ed
","move this line together to after line 16, group internal packages together
"
3789,"This should be `conf.get(""SQLALCHEMY_TIMESCALE_URI"", None)`
","I think it would be better to use `if not conf.get(""SQLALCHEMY_TIMESCALE_URI""):`
","I don't think this is the right place for this check. I think we should move this check to the `init_timescale_connection` function.
","None not needed, can just be `return`. not important for this release
"
9740,"Why not use `StandardCharsets.UTF_8`?
","Shouldn't this be `StandardCharsets.UTF-8`?
","Shouldn't this be `Charset.defaultCharset()`?
","There were problems with NullPointerException and with german Umlauts in message titles (I know they're not allowed in the specifiation but they caused my K-9-Inbox to not work at all) I don't know if this is related to PGP/Mime
"
1019,"nit: `private const string IsAppInsightKey = ""isAppInsight"";`
","I think this should be `DD_IsAppInsights` or `DD_IsDomainInsights`.
","nit: `IsAppInsight` -> `IsAppInsights`
","Do we already have a convention for this? If not, would we consider ""DataDog.IsAppInsights"". And then use ""DataDog."" prefix for all this settings, environment variables etc..? Such settings are, essentially, public APIs because they may conflict with customer data. Regardless of that , AppInsights has an s at the end :)
"
9849,"Shouldn't this be `os.path.isfile(path)`?
","Shouldn't this be `if path and not os.path.exists(path)`?
","Shouldn't this be `os.path.exists(path, ignore_errors=True)`?
","I think it's a good idea to log this as debug, the same way the other branch gets logged.
"
